"COLUMN_ID","SCHEMA","TABLE","COLUMN","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE"
28,"AIRFLOW","COPY_MP_REVENUE","DOPLATA","VARCHAR2",200,,,"Y"
29,"AIRFLOW","COPY_MP_REVENUE","IS_SERVICE_APP","VARCHAR2",200,,,"Y"
30,"AIRFLOW","COPY_MP_REVENUE","PAYMENT_PARTNER","VARCHAR2",200,,,"Y"
31,"AIRFLOW","COPY_MP_REVENUE","PAYMENT_PARTNER_ID","VARCHAR2",200,,,"Y"
32,"AIRFLOW","COPY_MP_REVENUE","PAYMENT_ID","VARCHAR2",200,,,"Y"
33,"AIRFLOW","COPY_MP_REVENUE","SUBSCRIPTION_ID","VARCHAR2",200,,,"Y"
34,"AIRFLOW","COPY_MP_REVENUE","PAYMENT_PARTNER_TYPE","VARCHAR2",200,,,"Y"
35,"AIRFLOW","COPY_MP_REVENUE","PARTNER_ID","VARCHAR2",200,,,"Y"
36,"AIRFLOW","COPY_MP_REVENUE","PAYMENT_PARTNER_CRM_NAME","VARCHAR2",200,,,"Y"
37,"AIRFLOW","COPY_MP_REVENUE","SUBS_PERIOD_NUMBER","NUMBER",22,,,"Y"
38,"AIRFLOW","COPY_MP_REVENUE","PAYMENT_TYPE","VARCHAR2",200,,,"Y"
39,"AIRFLOW","COPY_MP_REVENUE","CC_SALES_FLAG","NUMBER",22,,,"Y"
40,"AIRFLOW","COPY_MP_REVENUE","MANAGER_NAME","VARCHAR2",200,,,"Y"
41,"AIRFLOW","COPY_MP_REVENUE","PARTNER_ID_BY_REGION","VARCHAR2",200,,,"Y"
42,"AIRFLOW","COPY_MP_REVENUE","PARTNER_NAME_BY_REGION","VARCHAR2",200,,,"Y"
43,"AIRFLOW","COPY_MP_REVENUE","PARTNER_NAME_OWN","VARCHAR2",200,,,"Y"
44,"AIRFLOW","COPY_MP_REVENUE","PARTNER_NAME_SP","VARCHAR2",200,,,"Y"
45,"AIRFLOW","COPY_MP_REVENUE","PARTNER_ID_OWN","VARCHAR2",200,,,"Y"
46,"AIRFLOW","COPY_MP_REVENUE","PARTNER_ID_SP","VARCHAR2",200,,,"Y"
47,"AIRFLOW","COPY_MP_REVENUE","EVOTORSHARE","NUMBER",22,,,"Y"
48,"AIRFLOW","COPY_MP_REVENUE","SALESSHARE","NUMBER",22,,,"Y"
